1000 15000
135 240 6680
143 387 5745
62 260 5334
273 440 4045
501 662 3164
15 121 2962
116 170 4947
833 673 6360
824 386 6105
497 999 56110
243 568 4221
40 899 4041
366 385 4004
802 548 3290
0 725 19670
221 769 6561
680 99 5833
987 889 5112
788 999 35360
471 790 6813
419 729 5872
153 80 465
830 466 6679
769 593 1081
84 119 2814
91 786 6184
493 32 3369
60 441 5116
289 856 3898
7 580 4310
71 33 248
189 519 3124
429 181 132
176 362 187
235 437 5040
429 999 41430
627 654 5376
175 550 6239
654 975 1157
732 457 4003
512 951 4314
100 891 1237
903 430 5833
630 547 5269
895 635 5027
702 596 4179
835 941 3123
984 302 2131
0 831 58180
40 586 5785
14 309 1660
614 644 1020
148 647 3774
69 773 2207
355 155 2801
174 6 3373
0 690 43670
68 419 6831
548 12 3334
459 264 3491
20 201 4528
467 6 6657
431 866 4381
977 211 1087
692 132 1712
344 799 3437
223 877 4901
257 836 2978
165 252 5863
678 639 6007
884 385 4361
178 466 895
920 262 128
127 228 6755
0 985 32400
939 999 60940
818 336 3038
180 620 1858
0 359 58870
498 963 1177
106 451 5375
95 991 787
260 699 842
856 203 724
30 661 2915
478 92 1553
603 969 4107
241 271 1037
275 469 6642
428 649 18
600 130 5153
431 643 1027
209 95 4816
822 32 4706
968 397 4264
242 776 1544
590 527 6549
392 590 3249
768 448 2219
341 416 3767
73 429 3291
588 850 6286
321 155 5312
751 980 1624
421 353 6266
945 147 3805
43 290 4707
974 365 5285
693 204 720
990 122 1139
35 633 5603
402 211 2143
405 542 714
0 51 39070
0 215 24690
737 549 5796
153 342 4804
904 223 5002
637 734 6679
75 99 1425
712 683 6009
643 787 2890
600 38 6514
672 534 4417
267 285 6551
775 41 2050
459 215 6233
460 505 2873
698 852 6271
975 932 1282
750 296 2652
350 286 4265
43 339 3699
719 245 5320
762 750 3232
128 142 1134
144 182 4665
815 26 2161
284 849 6139
875 560 2754
33 66 2969
499 965 4314
758 943 2712
838 884 5252
189 653 1781
895 661 1700
581 994 2345
60 989 5872
372 893 3430
352 573 1580
942 483 4361
746 131 4292
942 885 4115
162 107 3430
0 40 19670
441 940 6950
646 413 4450
967 768 294
93 460 5578
99 803 1261
523 683 5348
526 257 869
70 959 1232
627 999 51780
839 434 2726
423 55 5365
587 76 2457
150 731 81
41 440 6317
352 999 14670
881 547 2013
654 915 3105
983 234 861
867 944 5750
698 632 4824
170 723 1037
377 672 3918
302 21 3157
51 740 6675
512 74 3732
907 361 3346
10 983 823
647 859 5622
425 424 2714
0 347 23090
0 980 15390
0 598 6010
553 734 192
626 718 803
482 740 113
566 555 5452
342 841 6749
916 121 5264
473 893 4510
504 354 1677
820 258 6581
778 318 6256
235 295 2456
107 97 2130
708 123 2451
229 426 3835
550 285 5168
783 801 5077
103 454 362
826 473 2178
700 355 3181
755 882 1381
426 797 1022
110 617 1279
846 948 2185
711 862 946
768 130 4078
306 13 153
278 181 2308
420 681 654
936 889 4181
678 805 6959
663 309 3571
909 133 3150
636 150 511
305 260 2559
988 651 3248
415 321 190
451 473 4690
707 281 5442
260 271 670
614 105 1613
706 381 3407
298 325 2914
950 497 6123
194 412 5373
762 677 2565
32 544 2546
31 660 4661
332 694 5302
534 496 6387
866 87 4767
336 587 909
784 753 6888
944 680 3549
986 710 3337
227 486 4549
0 8 53170
232 713 3162
532 969 1132
460 365 3866
132 582 1759
181 692 6366
935 40 2796
636 999 13680
951 879 5800
243 705 3029
594 754 4736
396 217 5414
65 349 1530
750 326 2259
934 242 4407
149 251 28
945 614 4174
327 250 149
619 250 5245
133 294 4986
470 820 6202
24 306 1186
0 961 48500
469 782 1610
855 415 2317
64 793 4474
927 866 6969
298 830 5510
962 500 6992
158 72 838
316 278 4604
658 485 124
83 822 1912
421 453 1917
441 836 3126
96 449 711
0 482 1450
117 665 1579
902 531 1539
488 257 2809
150 908 240
114 253 793
585 171 1867
321 878 4935
772 319 2693
48 977 6350
965 512 2447
637 91 2215
446 409 790
53 604 303
383 267 5017
351 895 3622
472 107 3118
991 283 3993
678 111 5475
871 810 5710
473 380 5768
180 977 669
263 676 6348
997 289 1061
136 134 1703
493 449 4875
755 572 2665
354 267 2077
247 561 1111
517 821 6829
961 625 5419
826 883 3727
206 971 5415
832 750 3304
552 267 2007
177 779 5445
549 503 2459
291 572 99
543 25 3663
958 60 174
744 971 5618
391 251 5826
948 628 4482
363 284 4285
717 999 49050
888 811 1996
424 683 6742
648 725 3225
632 219 259
356 659 575
39 526 6811
639 15 1939
64 923 2925
478 165 4370
389 910 4776
406 874 3640
102 752 2277
713 890 6754
863 201 2521
0 305 23250
335 161 3793
193 303 4670
515 959 3993
843 80 1041
697 121 232
404 527 6616
418 335 3465
158 661 1375
229 415 4147
389 700 560
259 999 48320
535 180 4062
31 657 5648
164 802 2272
705 92 137
173 999 44130
832 834 4253
519 999 10920
285 819 3878
706 999 47080
477 99 5510
659 529 3394
52 371 4239
0 640 13930
519 801 5021
524 379 2666
497 671 4791
733 832 2864
555 878 43
22 857 6095
0 257 54160
395 5 1862
779 753 5258
60 390 616
784 155 3472
313 709 4764
2 358 212
105 898 2303
9 318 4511
749 367 1726
305 892 313
232 688 4081
924 180 2625
127 145 5746
552 315 6974
328 999 62640
701 612 517
281 783 4832
834 889 6409
142 676 6438
909 621 3297
193 892 4563
78 309 3081
690 825 3302
893 865 3512
829 526 3161
107 72 4982
62 947 4364
0 313 62240
782 713 1312
191 863 3934
617 471 47
587 78 6516
417 571 4240
736 962 1690
720 74 1954
741 532 339
74 516 6800
481 886 1686
376 400 273
73 804 3772
994 910 5692
219 849 4950
240 548 5786
210 490 833
432 645 782
283 66 382
804 436 2750
914 938 4022
495 623 3070
173 904 3405
366 258 6427
373 963 3695
503 618 1143
59 864 807
501 556 5254
868 364 4062
24 200 3145
968 422 5875
263 466 4955
114 66 5236
647 819 2449
319 419 3899
527 882 2551
975 603 3268
677 729 5039
513 576 2286
903 305 4157
904 63 3700
200 800 6622
320 504 4325
374 867 5482
321 208 1623
254 47 2675
525 999 55020
39 657 3240
247 907 6327
584 227 813
507 940 4024
467 415 3017
103 637 3988
805 465 1173
836 624 1615
506 999 4290
9 754 3919
901 599 2700
220 126 3850
417 586 4769
142 183 668
796 63 754
371 852 308
352 57 2447
166 919 6347
340 117 2013
413 366 2719
10 335 2481
624 371 3251
462 222 3589
221 681 6441
463 328 2345
72 475 61
448 214 2569
609 531 2807
455 277 454
743 690 2186
45 999 7830
955 17 6578
622 813 5649
908 589 2826
914 383 6328
883 970 4637
354 801 5090
727 873 3319
528 755 3617
736 392 2631
890 624 24
919 556 6111
526 267 2482
63 957 122
250 649 4038
279 28 4424
891 850 6730
361 984 1236
582 436 3247
162 137 6092
913 939 705
248 726 4852
110 23 6064
572 324 4576
954 331 2409
620 999 5060
696 512 5200
654 842 3045
960 887 6281
558 861 2983
597 416 1372
677 302 1436
130 45 3305
183 338 6854
956 618 2950
940 277 6466
474 664 5247
359 614 5801
0 434 64730
981 176 1314
49 608 6542
606 474 5630
637 961 825
329 427 2869
209 414 3076
836 835 4442
315 852 5673
861 999 37500
820 195 3467
473 949 4819
280 594 87
539 807 5870
429 841 101
102 822 636
20 924 3759
121 495 2956
712 619 6334
950 715 416
600 187 5536
873 658 1425
262 653 4603
873 163 928
771 409 193
500 846 3744
587 292 247
617 999 24460
415 525 5586
652 677 5274
32 381 34
135 349 2477
728 999 18150
398 873 6875
243 979 6809
369 307 3909
514 632 419
205 227 896
926 216 3561
740 405 3947
401 229 1789
342 810 3486
973 918 1223
374 499 634
534 63 6511
996 318 5079
804 751 4509
663 724 6720
558 926 430
944 57 902
763 322 2440
802 946 478
19 872 5375
490 776 25
222 839 4960
639 641 3478
0 143 17920
831 591 5564
13 999 11320
169 270 3249
757 475 6220
763 277 1098
871 82 3093
439 667 4410
637 694 867
826 999 9180
653 696 4985
824 695 2936
864 985 337
467 995 3050
0 403 55940
724 890 4412
566 326 1449
961 121 4750
845 250 2247
13 783 4500
398 793 6522
951 999 35340
871 516 3235
900 409 2650
777 226 6183
633 407 1780
40 171 5922
883 690 2968
309 789 1095
0 348 46580
521 380 5311
849 616 4887
11 301 5852
986 352 2426
902 137 10
778 114 4522
551 280 1616
494 828 2985
95 456 3312
829 228 3143
91 144 5461
885 815 6976
981 419 688
117 691 5357
68 160 2037
492 394 6543
443 999 7830
517 716 6223
45 421 3854
410 808 2390
242 255 1107
847 404 5234
144 618 5884
546 999 4510
820 149 4782
843 999 34960
865 999 7030
152 59 5414
85 931 1661
155 687 2487
341 999 23520
998 101 5019
531 721 3117
592 939 72
655 891 6796
226 922 6938
668 440 761
657 674 6197
215 744 1397
174 75 2042
160 646 2962
125 121 1389
224 679 3106
434 199 2826
221 902 4528
464 35 6832
111 817 2580
442 201 235
355 999 62640
622 439 4850
141 999 18940
110 92 439
602 112 881
320 234 2785
301 50 1799
551 297 431
549 519 4050
942 682 5360
252 953 2307
608 703 2107
565 103 5537
674 909 854
724 125 4928
0 83 15030
0 328 58090
0 455 6180
462 979 2913
221 39 5980
571 372 5737
182 811 4441
802 425 1807
694 685 3123
262 711 3626
116 97 5174
0 321 56600
500 994 1852
507 624 1532
830 846 820
411 999 27480
959 432 97
383 303 6409
488 207 1862
251 335 3647
533 863 3213
899 917 6801
540 88 290
214 195 1617
349 750 3238
206 781 6842
995 631 6272
365 314 2591
970 642 2420
449 27 2410
130 449 3706
528 375 3536
627 102 1436
182 742 6328
410 895 3992
903 189 104
425 524 6644
906 408 3185
910 357 3972
145 470 6087
283 284 6069
502 915 6481
699 815 2305
846 449 1019
21 821 5039
450 941 2515
650 332 2241
329 662 3657
607 434 1886
239 783 6057
330 531 6646
749 999 1760
265 148 3441
116 782 6434
387 999 11760
786 993 5268
841 487 1616
349 419 4824
769 316 2282
305 178 2366
847 436 1776
966 493 96
891 272 6274
185 180 3104
614 916 3232
426 413 4395
345 594 931
302 282 5214
247 733 5044
768 584 4259
883 671 6555
11 861 986
0 487 4960
793 1 497
367 78 5397
495 999 5070
829 433 145
645 999 11020
129 432 3713
383 561 258
290 999 45880
608 596 4702
607 282 2801
735 336 1604
443 460 2360
742 999 8960
902 787 6425
574 90 4132
750 118 5957
811 662 3372
639 698 4545
0 529 44800
736 947 74
632 141 1566
0 264 29630
468 422 4331
853 187 6338
522 938 1375
897 708 6336
287 23 22
593 596 1064
643 271 1387
464 978 5902
835 805 805
0 212 24610
833 177 1409
486 314 3908
54 752 1289
471 544 5077
15 605 4203
110 2 1984
11 256 1139
298 337 1833
472 114 3661
389 739 5645
329 167 5447
564 452 3876
142 849 4244
0 881 58220
945 693 6147
912 208 3014
816 981 1933
0 814 17660
375 487 2314
544 399 1964
237 46 5206
444 368 5456
893 393 5587
748 247 5116
307 233 2781
452 829 6850
528 621 4120
436 893 2602
265 999 47830
987 666 1325
252 968 6534
180 293 1978
235 999 60640
6 50 2526
513 689 627
496 447 5480
960 501 2821
555 478 209
532 667 3520
514 679 1623
892 180 1752
37 737 4347
484 622 5204
526 546 2640
612 426 1642
378 204 6829
507 999 57230
787 506 302
47 700 1751
588 553 1640
501 551 5761
237 614 1893
546 139 1438
998 432 2674
358 66 196
777 441 4401
601 802 3149
286 265 6754
573 231 920
473 698 3897
695 382 6997
56 485 4198
8 673 6243
183 439 58
344 398 2988
707 367 2329
655 448 3614
282 808 954
241 907 788
31 999 27570
482 506 2802
973 402 6122
141 741 1891
0 445 25730
845 833 3410
849 280 6001
103 456 3425
552 838 3276
688 956 3969
836 402 2383
306 636 6703
759 475 4649
520 450 4910
293 389 2606
593 404 2594
172 385 4621
841 861 2782
161 742 1511
136 152 2405
165 67 1839
528 712 1134
984 634 897
293 298 4144
302 419 905
590 99 3443
287 665 5944
723 682 723
114 999 52920
861 932 3072
338 677 5534
357 232 5004
193 554 1307
65 418 6642
739 999 35240
412 769 2122
206 702 1419
378 278 4901
335 518 6477
623 640 6967
419 914 3179
207 789 6534
814 280 1833
293 21 1147
53 200 6098
348 912 6286
415 197 1602
224 703 6036
33 999 2010
251 809 4776
370 42 6045
658 523 3168
862 971 3379
361 295 4632
0 927 39380
193 340 1487
470 644 6243
61 702 4507
0 124 49060
151 407 614
934 371 5841
6 949 4015
686 999 52180
541 999 43090
910 363 6453
784 342 3218
95 229 6720
370 871 35
812 314 1236
0 804 44030
100 709 5826
157 80 1127
241 924 2321
379 460 2236
87 610 3178
81 829 633
932 682 6987
929 230 4659
649 881 226
480 12 5141
43 724 4069
870 614 2838
289 73 6383
595 2 119
722 379 6324
620 257 493
16 996 4026
228 138 1419
295 719 2148
489 706 3257
781 529 2730
143 437 5626
208 993 934
678 427 3338
431 79 3777
445 383 2753
190 994 4629
0 285 62170
218 715 1872
567 548 144
291 94 3270
299 319 3486
682 63 2593
135 495 6785
795 869 6768
189 174 1568
857 639 225
476 31 5583
258 920 3566
450 660 2714
919 182 5791
635 726 3817
9 434 4385
875 955 5262
844 130 935
399 502 4381
364 304 6349
803 303 3763
388 655 2494
567 721 3593
961 772 6093
804 758 1296
621 120 4049
907 856 6094
878 293 2854
207 299 3500
524 701 2315
733 618 1178
588 36 5519
596 257 3430
422 85 1472
610 607 565
914 440 1270
981 600 2203
833 127 5983
924 296 2742
666 589 6240
88 342 5236
666 632 5165
160 459 3376
427 97 751
451 951 2012
732 108 1669
85 681 2266
123 438 2905
809 525 2234
134 440 720
499 528 1886
837 336 3777
749 656 23
661 872 5201
62 145 2353
440 347 6093
539 368 4023
651 4 2457
27 177 1688
954 433 246
892 367 6252
0 811 2570
16 858 1296
265 68 2981
534 258 6110
171 667 6662
752 18 1887
796 359 6395
632 845 6057
600 508 781
650 786 2045
470 533 5344
155 244 6448
331 291 5259
328 343 3579
492 766 675
423 956 6798
0 921 16630
996 138 6210
974 515 6697
0 166 3930
76 891 3243
943 835 2396
345 986 5473
380 596 3741
571 89 3591
735 232 4738
748 222 6026
929 568 533
728 672 1231
716 485 5808
429 92 2653
794 853 908
839 159 6036
415 440 2277
571 76 1430
365 335 6889
733 49 6723
776 112 1100
712 999 14510
146 711 3127
683 385 3950
712 376 6069
155 503 3452
529 413 4278
171 752 566
63 666 352
36 239 5800
184 722 4604
974 119 1145
92 741 5027
313 936 5442
234 376 4275
229 336 2138
795 222 1450
36 836 3329
304 713 4131
115 666 6247
501 909 5814
650 999 22390
700 291 4657
211 85 597
559 708 2634
143 999 44810
90 667 5042
86 580 6787
94 421 3672
333 761 6883
425 976 5742
201 914 698
906 158 4470
853 926 4446
381 592 5685
779 367 4388
58 822 696
0 203 29520
0 438 47390
603 933 3594
41 999 48150
0 100 51720
319 70 6861
495 42 6205
192 547 3609
491 192 6591
601 23 1564
947 727 576
700 614 2509
313 349 4304
554 555 3131
926 83 2671
791 473 1092
674 999 3230
675 126 6349
294 277 4886
344 764 5078
1 713 825
865 476 3035
0 645 10880
539 858 5525
271 511 6288
286 997 4940
585 360 4622
319 213 5124
0 491 46580
43 999 66660
152 402 1588
702 999 4730
350 780 5449
507 915 3021
456 189 3075
248 361 3439
95 487 2305
578 161 813
729 937 3756
133 211 4749
840 751 6436
303 863 6326
916 341 989
330 408 197
962 285 705
684 319 293
964 104 3157
279 608 128
347 728 245
782 708 2680
151 261 4610
461 610 33
11 999 48660
292 633 3331
916 204 4284
889 419 738
693 701 4187
388 158 3637
247 204 3131
447 329 3659
801 501 1655
267 163 5117
833 983 110
0 92 13940
952 802 1900
577 985 6057
695 648 1263
406 485 2600
0 839 42390
475 449 2257
865 737 6032
102 376 2395
603 573 2807
964 93 5892
675 300 5212
69 496 2200
976 519 102
598 750 200
394 564 5579
946 131 4544
183 231 6
754 817 1409
928 890 3727
243 861 4526
76 617 2480
225 221 401
660 617 6085
972 936 2794
851 82 881
521 989 1346
601 714 1384
797 738 5855
108 24 4798
634 363 1063
209 855 4335
73 219 3315
139 296 4134
628 606 4661
82 98 2817
377 837 6184
535 275 4770
280 213 5034
650 462 290
99 225 3538
42 781 1206
615 78 1088
787 585 1007
134 635 5657
0 988 50280
365 390 2563
904 12 2581
350 612 2535
0 448 40430
719 876 3775
291 776 5166
173 580 2382
489 373 2520
933 901 256
313 837 899
374 217 5240
101 323 109
397 558 1315
209 676 4495
299 614 1519
513 330 3183
240 435 4347
413 949 2593
881 114 364
0 544 42980
544 46 4614
102 638 6681
737 999 50590
851 578 1294
779 377 3511
874 556 146
985 806 5789
527 565 592
817 662 4626
905 313 4596
693 338 2336
817 945 2714
165 701 1319
105 788 4736
513 473 4916
585 743 3669
850 671 3023
583 980 4760
689 985 6
339 502 1115
230 902 5426
802 256 500
77 875 4858
619 628 2636
27 415 6291
909 92 4069
294 662 5183
364 819 2169
173 854 3745
200 96 3275
114 917 386
17 236 6383
39 999 62750
189 128 1727
236 933 6575
868 497 5056
808 856 2561
641 673 1100
665 83 6229
141 708 2305
0 969 46080
231 298 3374
487 351 818
211 999 56790
22 37 2168
608 359 6454
538 664 1542
663 848 2427
123 554 977
433 38 4898
957 586 4499
863 366 3472
377 633 6728
256 949 4774
106 685 999
175 774 902
171 480 5076
645 688 6361
383 627 6430
226 185 2899
206 249 3623
582 61 4878
669 586 1961
722 409 6188
14 348 190
676 272 3932
779 610 6371
81 822 3031
819 50 3155
127 206 1168
17 588 5448
328 567 4953
814 227 2849
405 302 2446
920 722 3694
836 374 2341
703 243 1521
668 253 5698
224 257 2090
785 295 1155
783 861 3088
859 522 383
561 45 3280
317 930 6288
580 344 6719
0 768 34500
876 849 3637
196 929 1185
248 669 5913
31 425 1974
562 58 4321
542 191 5642
353 897 935
527 453 2030
886 836 5797
770 4 4605
132 222 5831
587 736 3016
683 270 5234
164 575 3743
426 125 674
728 154 1054
687 314 6386
612 154 5446
315 910 1130
934 261 4941
309 568 135
965 889 3732
467 162 191
169 493 671
108 365 4839
438 911 4383
205 672 2179
372 867 6348
107 459 311
965 702 4873
62 787 2769
530 796 6477
242 189 2094
907 517 66
208 249 2596
71 124 2568
506 259 3874
809 667 4287
408 351 892
319 676 1619
5 767 6425
0 330 14490
912 759 3687
721 965 1876
623 22 3605
421 518 2400
421 483 1891
0 808 26710
577 23 459
91 113 4239
816 158 6126
506 739 2389
160 545 1166
433 300 4277
21 351 2559
686 228 1980
687 329 3725
201 579 5098
962 689 2029
276 665 1923
19 273 36
264 63 1320
360 829 173
69 636 6995
436 654 1565
182 218 906
219 445 3821
136 776 6108
538 479 3159
556 222 5650
0 323 49230
910 494 5341
984 359 369
265 763 2232
893 754 690
549 328 4710
54 265 1741
40 625 315
911 939 2410
141 231 4662
541 645 3795
566 852 19
755 157 868
342 999 26870
903 133 1368
705 918 5518
588 438 5319
547 572 6262
588 60 5541
365 619 3231
812 767 4903
170 281 1274
361 913 4720
585 66 6142
319 827 796
0 971 24680
879 728 2278
911 399 2047
783 54 5117
29 683 1201
432 956 586
193 767 4860
277 325 2808
135 605 3935
789 130 3783
728 85 3646
899 72 2849
26 285 778
858 132 4231
978 963 1947
597 999 16420
898 172 6920
705 348 5864
843 331 1098
965 278 4667
381 197 690
816 327 5939
737 770 4157
0 371 46260
994 995 1309
47 35 1998
952 432 672
719 419 1853
49 313 2356
813 869 6532
427 429 3430
962 894 186
517 734 5911
0 70 47850
336 897 6473
865 722 1725
137 334 3071
170 999 57200
316 612 2220
773 259 6036
395 494 1331
873 262 3225
259 553 2119
499 257 2593
993 309 2990
740 876 3047
385 767 6020
56 118 1496
560 214 1004
823 560 4952
958 496 2374
468 93 3622
985 529 2978
722 836 3980
705 824 4808
705 38 79
0 77 67490
968 626 4587
280 125 5438
640 24 51
792 587 4764
660 688 2587
514 162 926
0 565 16800
381 998 851
807 931 5859
0 325 12200
218 944 4474
396 320 1384
671 21 1644
515 710 653
986 293 4959
501 758 5875
521 275 6422
199 725 4695
818 976 5420
795 273 6814
568 927 3040
450 429 2174
0 560 19530
671 490 3973
106 711 3945
198 53 6097
324 239 2541
68 36 24
625 524 726
0 216 33280
0 317 1130
201 980 4244
624 40 6733
757 670 6327
872 567 1171
517 383 4866
624 999 36220
602 224 792
121 617 1134
871 999 29560
0 372 27120
221 154 2635
0 767 39110
6 955 433
555 111 6206
916 522 1019
754 712 2077
302 887 5082
355 294 6732
117 976 4590
818 871 759
695 558 4960
116 386 5096
334 311 4169
286 332 4420
245 120 3095
153 628 279
12 272 5115
700 255 2145
43 983 3859
719 622 6055
621 230 3139
168 470 1519
466 999 35920
854 731 1405
864 462 1761
390 9 4360
0 822 59980
422 351 4944
46 711 5646
742 731 5427
109 212 3958
374 632 1117
115 179 3761
644 927 3737
400 860 911
248 790 989
367 319 6127
633 33 2682
893 475 4613
592 377 4061
0 58 65950
0 476 62480
475 916 2334
483 111 1011
577 999 16870
500 988 666
229 999 29150
733 611 2351
389 167 5583
762 645 4718
239 999 34640
701 878 3628
722 759 4796
993 47 6517
660 387 4518
536 706 6313
919 619 4826
584 392 878
829 930 4250
473 999 50700
513 365 514
614 631 6239
766 342 3445
937 335 5286
84 999 9960
439 276 1340
572 264 340
232 196 4064
384 145 4036
372 151 2031
264 600 5927
750 999 38930
836 504 694
792 573 6287
19 58 2857
262 68 6677
58 338 3717
855 552 2511
120 999 10710
309 999 37880
0 334 35160
537 309 2837
310 419 6854
949 160 1428
3 174 3945
283 507 5497
839 552 2753
0 758 1700
0 951 31550
850 766 3618
867 143 3891
285 667 4350
781 9 933
628 522 6406
383 856 2138
3 875 4765
752 132 3230
98 732 126
499 492 3239
699 70 1893
550 485 4379
505 989 4969
363 384 92
0 29 61850
314 254 655
0 390 53560
321 817 4164
841 727 5151
688 908 2124
196 153 6095
739 910 4816
220 620 1502
962 937 344
812 367 5152
688 203 1189
956 866 1737
444 898 978
286 176 5961
539 410 2108
947 601 710
563 866 4625
472 998 2758
165 745 2952
554 845 6031
690 344 5887
568 245 5177
540 243 3355
5 315 2565
159 297 466
695 480 3536
301 94 3766
416 784 3677
437 567 1269
968 895 2114
585 52 4006
384 887 6076
16 342 2016
948 490 4868
0 336 5300
561 950 968
935 785 5623
706 865 5661
548 606 2865
70 914 500
0 562 60470
152 56 83
206 963 1275
507 455 2912
933 945 6667
650 68 862
47 16 3752
765 985 3812
233 747 5042
438 55 5878
163 416 1099
459 629 433
869 319 5785
887 496 3320
26 393 2160
644 295 1073
238 122 636
161 74 4347
48 885 1770
489 219 4024
785 754 785
15 768 4041
832 513 167
671 711 1547
265 811 3261
385 30 1734
828 637 6072
445 954 3130
252 76 1324
701 42 6463
199 37 133
689 238 5000
381 627 564
804 991 2769
3 505 4042
579 322 6675
212 95 5540
49 13 3239
579 936 1211
537 420 2849
508 20 2484
771 326 5872
49 359 3149
670 406 35
595 62 5170
202 649 6858
363 55 2260
651 548 4387
337 445 1329
353 222 5559
811 999 15830
515 520 3722
625 932 6367
946 320 2895
626 782 4506
646 80 6555
760 400 2367
235 227 4120
182 134 4802
708 988 3478
607 528 1038
169 117 4539
533 580 1871
537 215 591
657 967 1936
644 932 4727
99 827 1928
545 861 1864
787 432 6154
6 333 5980
645 316 2864
967 506 5306
946 68 4742
371 836 2170
465 387 2092
385 727 5030
351 950 1163
60 578 237
873 237 3826
423 363 2019
63 563 2187
832 646 6247
822 963 245
394 96 2528
676 57 1908
996 818 1000
734 858 4620
458 789 5952
862 392 2160
573 671 1787
321 984 4046
517 188 3172
678 458 3044
0 406 52940
165 634 3810
907 378 6688
389 440 3239
0 385 18850
985 721 5469
607 635 83
116 348 6253
329 206 5204
167 636 642
247 254 5405
62 53 1629
121 56 1760
677 999 42730
535 880 2611
961 763 424
455 195 4877
866 733 6517
209 605 6125
224 528 113
894 178 5950
14 863 2461
194 521 6686
598 999 53420
281 177 5636
34 744 4386
325 848 3436
621 294 2942
885 999 23560
425 775 4192
45 213 4786
856 970 3238
3 475 388
29 999 64140
114 478 5803
447 54 611
881 999 9590
570 198 726
535 238 3046
972 129 6055
0 948 13140
190 932 5189
452 963 6650
73 566 1116
261 521 3116
821 22 1270
979 782 6110
548 173 1370
352 899 1609
675 266 5519
423 725 6412
816 165 6884
604 999 62800
699 938 581
776 875 4224
111 588 161
527 539 6165
858 529 5948
19 331 4501
223 503 2916
138 921 2428
346 64 2440
883 601 2085
318 828 2412
0 335 29430
617 593 4117
379 999 59450
307 510 6152
41 227 5821
433 621 1813
64 125 5828
664 533 2910
614 895 6655
316 645 2588
672 981 1688
93 715 2889
27 319 894
778 201 3506
232 644 2553
237 543 1696
300 488 5588
800 65 1626
407 118 5806
695 149 5875
211 166 2653
95 425 6910
740 763 6947
519 264 6346
22 174 4473
0 611 10450
311 230 4301
7 270 880
63 424 713
653 715 6307
660 962 533
371 118 3740
811 713 621
427 82 2130
823 258 5003
221 412 6831
158 196 1291
404 9 2683
565 999 13320
671 687 4912
453 186 1739
312 95 2849
297 170 3521
913 374 1757
253 185 5951
120 694 1564
412 357 5042
322 822 5879
107 16 175
769 999 950
748 632 4555
861 298 5253
207 461 5602
77 129 3917
474 825 5605
151 831 5962
941 843 3930
931 168 4048
320 36 5124
374 526 2721
985 138 3609
460 337 5781
473 201 6481
164 841 5188
267 495 5474
553 911 3479
604 688 6812
855 386 2046
90 947 848
722 493 2034
724 948 6823
417 539 5283
761 919 898
82 219 57
488 452 2822
872 675 4209
53 796 4006
886 226 3983
505 591 240
423 668 6626
522 494 761
244 555 5128
864 586 3269
58 966 6089
380 727 5137
901 667 2581
916 566 1214
646 167 970
295 445 2909
813 146 6582
693 642 2456
491 694 45
632 365 4954
691 373 1755
269 45 2201
271 683 3556
622 949 3471
85 136 6379
874 194 264
736 388 4995
492 607 2938
335 104 6535
370 700 3241
249 540 6327
893 402 6441
834 261 3926
228 777 6924
596 589 5832
764 583 3291
391 399 2489
56 129 5588
961 445 5807
828 126 251
138 411 320
304 770 2971
339 530 774
294 763 726
289 974 5539
329 156 2267
176 883 129
594 546 579
275 425 2294
24 662 3822
452 819 4749
521 967 6013
892 362 2526
880 586 3115
796 134 1571
19 825 5795
408 461 6867
155 999 52530
458 310 5738
334 366 5995
960 17 1888
498 908 3730
240 573 3462
66 395 2750
586 568 5398
288 357 5101
321 677 4953
62 903 6082
218 403 6699
945 555 387
508 234 2976
316 423 2096
196 130 282
878 159 6662
918 370 3060
697 450 6226
449 722 5876
402 518 5736
212 392 4857
228 577 4679
642 42 3394
315 877 1964
701 683 656
398 515 3787
541 206 1957
593 131 2141
663 575 1201
692 821 1694
268 155 3028
555 35 6597
418 880 5127
234 669 2777
61 290 2289
923 981 2485
879 608 6863
485 542 4082
914 848 4424
499 791 5146
237 651 6603
40 645 1729
0 283 56880
87 177 5959
196 702 2681
895 142 2706
0 607 44500
985 282 6062
364 938 4322
984 426 6192
187 474 2532
601 793 3357
160 27 3782
431 344 5015
129 526 367
454 579 5032
915 309 4585
0 32 46180
76 887 3519
674 710 6636
422 120 1549
78 610 5435
352 868 3819
931 940 4954
852 921 4548
351 160 5525
453 153 4836
724 175 1459
973 513 2683
356 469 2194
785 918 4665
157 450 287
759 874 665
325 395 135
624 318 1514
374 939 3741
526 616 10
146 106 1194
560 1 1675
789 713 5887
279 287 308
349 446 3708
489 802 2272
537 105 6617
81 219 695
273 833 5830
746 531 5288
980 106 2143
380 999 61920
371 999 62010
29 504 5031
788 677 2873
692 932 4410
25 146 5225
517 230 5406
431 95 3669
748 418 4678
7 956 2564
903 354 3316
209 999 20950
608 607 4586
0 273 63370
763 433 3872
112 870 4902
0 349 15300
978 710 288
108 948 1043
740 749 5706
225 363 5830
176 104 860
555 824 1286
361 584 4923
855 769 6521
118 285 1798
11 227 4235
0 132 25060
618 778 5552
162 396 2162
318 563 3474
266 999 1590
349 428 1351
979 719 4292
978 317 4130
703 162 5029
535 999 47930
628 799 3311
334 786 902
64 331 5833
712 889 1869
0 751 43260
888 664 5411
739 146 3933
571 141 5247
